video_id,class,method,output_dir,output_video,report,score_maps,input_video,backend_input_video,seed,sigma,epsilon,delta,top_k
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,127.387417,8.000000,0.000100,20
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-only-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/motion_only_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,127.387417,8.000000,0.000100,20
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/random_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,127.387417,8.000000,0.000100,20
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/shifted_rat_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,127.387417,8.000000,0.000100,20
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-no-trajectory-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_no_trajectory_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,127.387417,8.000000,0.000100,20
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/shifted_rat_fusion_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,127.387417,8.000000,0.000100,20
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/videomae_only_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,127.387417,8.000000,0.000100,20
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,103.175944,8.000000,0.000100,20
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-only-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/motion_only_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,103.175944,8.000000,0.000100,20
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random-mask,,,,experiments_icassp4_mask_ablation_20260905/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/random_mask/score_maps.npy,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,42,103.175944,8.000000,0.000100,20
